********************************************************************************
product = WebSphere Application Server 8.5.5.7 (wlp-1.0.10.cl50720150827-0437)
wlp.install.dir = /home/eyal/Programs/wlp/
java.home = /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.60-14.b27.fc23.x86_64/jre
java.version = 1.8.0_60
java.runtime = OpenJDK Runtime Environment (1.8.0_60-b27)
os = Linux (4.2.3-300.fc23.x86_64; amd64) (en_US)
process = 14647@localhost.localdomain
********************************************************************************
[12/10/15 12:00:35:677 IST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server Notification has been launched.
[12/10/15 12:00:35:693 IST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0100I: This product is licensed for development, and limited production use. The full license terms can be viewed here: https://public.dhe.ibm.com/ibmdl/export/pub/software/websphere/wasdev/license/base_ilan/ilan/8.5.5.7/lafiles/en.html
[12/10/15 12:00:36:634 IST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 1.219 seconds
[12/10/15 12:00:36:660 IST] 00000017 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[12/10/15 12:00:37:260 IST] 00000010 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications. 
[12/10/15 12:00:37:369 IST] 0000001b com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: TCP Channel defaultHttpEndpoint has been started and is now listening for requests on host localhost.localdomain  (IPv4: 127.0.0.1) port 9081.
[12/10/15 12:00:37:623 IST] 00000021 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application NotificationClient.
[12/10/15 12:00:38:570 IST] 00000021 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: NotificationClient.
[12/10/15 12:00:38:574 IST] 00000021 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module NotificationClient has been bound to default_host.
[12/10/15 12:00:38:576 IST] 00000021 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://localhost:9081/NotificationClient/
[12/10/15 12:00:38:580 IST] 00000021 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: Application NotificationClient started in 0.958 seconds.
[12/10/15 12:00:38:593 IST] 00000017 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0012I: The server installed the following features: [servlet-3.1, json-1.0, localConnector-1.0, jaxrs-1.1, javaMail-1.5].
[12/10/15 12:00:38:593 IST] 00000017 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0008I: Feature update completed in 1.955 seconds.
[12/10/15 12:00:38:594 IST] 00000017 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0011I: The server Notification is ready to run a smarter planet.
